"","Figure","Panel","Weights","Ensemble","Comparison","Fit","c","d","e","Pr90"
"84","S2","D","uniform_by_type_weights","BLUP","DNN-SO","EXD3",0.9171022869682,0.950976957187243,1.53377433519517,4
"85","S2","E","uniform_by_type_weights","KNN","BLUP","EXD3",0.933157577050142,0.976572427955999,0.969893146374206,3
"86","S2","E","uniform_by_type_weights","KNN","SVR","EXD3",0.988927335994913,1.05929443038741,0.969893146374206,3
"87","S2","E","uniform_by_type_weights","KNN","DNN-CO","EXD3",0.966322088574934,0.971775628236465,0.969893146374206,3
"88","S2","E","uniform_by_type_weights","KNN","DNN-SO","EXD3",1.00371580427522,1.0343736339529,0.969893146374206,3
"89","S2","E","uniform_by_type_weights","KNN","LM","Linear",1.03427283037405,NA,NA,NA
"90","S2","E","uniform_by_type_weights","KNN","KNN","Linear",1.03427283037405,NA,NA,NA
"91","S2","E","uniform_by_type_weights","KNN","RNR","Linear",1.03427283037405,NA,NA,NA
"92","S2","E","uniform_by_type_weights","KNN","RF","Linear",1.03427283037405,NA,NA,NA
"93","S2","F","uniform_by_type_weights","RNR","BLUP","EXD3",0.945311308607489,0.961577721915281,1.54740838372226,4
"94","S2","F","uniform_by_type_weights","RNR","SVR","EXD3",0.997926876264427,1.04435070943171,1.54740838372226,4
"95","S2","F","uniform_by_type_weights","RNR","DNN-CO","EXD3",0.974544713053263,0.981442918663317,1.54740838372226,4
"96","S2","F","uniform_by_type_weights","RNR","DNN-SO","EXD3",1.01528172063344,1.04039875394939,1.54740838372226,4
"97","S2","F","uniform_by_type_weights","RNR","LM","Linear",1.04539276577276,NA,NA,NA
"98","S2","F","uniform_by_type_weights","RNR","KNN","Linear",1.04539276577276,NA,NA,NA
"99","S2","F","uniform_by_type_weights","RNR","RNR","Linear",1.04539276577276,NA,NA,NA
"100","S2","F","uniform_by_type_weights","RNR","RF","Linear",1.04539276577276,NA,NA,NA
"101","S2","G","uniform_by_type_weights","RF","BLUP","EXD3",0.920249587916644,0.95872815973376,1.19996718782924,3
"102","S2","G","uniform_by_type_weights","RF","RF","EXD3",1.10573364272698,1.10984163665544,1.19996718782924,3
"103","S2","G","uniform_by_type_weights","RF","SVR","EXD3",0.969078227711193,1.0153699680063,1.19996718782924,3
"104","S2","G","uniform_by_type_weights","RF","DNN-CO","EXD3",0.930814126395539,0.941387949088632,1.19996718782924,3
"105","S2","G","uniform_by_type_weights","RF","DNN-SO","EXD3",0.977285272576134,1.00530333570385,1.19996718782924,3
"106","S2","G","uniform_by_type_weights","RF","LM","Linear",1.00954152276866,NA,NA,NA
"107","S2","G","uniform_by_type_weights","RF","KNN","Linear",1.00954152276866,NA,NA,NA
"108","S2","G","uniform_by_type_weights","RF","RNR","Linear",1.00954152276866,NA,NA,NA
"109","S2","H","uniform_by_type_weights","SVR","LM","EXD3",0.9453302186367,0.980156453347613,1.0799444224059,3
"110","S2","H","uniform_by_type_weights","SVR","BLUP","EXD3",0.887379578159828,0.955746374149462,1.0799444224059,3
