"","Ensemble","Model1","Model2","Fit","RMSE"
"156","inv_std_weights","RNR","DNN-SO","EXD3",1.00529362567789
"157","inv_std_weights","RNR","LM","Linear",1.04286309329684
"158","inv_std_weights","RNR","KNN","Linear",1.04286309329684
"159","inv_std_weights","RNR","RNR","Linear",1.04286309329684
"160","inv_std_weights","RNR","RF","Linear",1.04286309329684
"161","inv_std_weights","RF","BLUP","EXD3",0.933877012037048
"162","inv_std_weights","RF","RF","EXD3",1.10578255101143
"163","inv_std_weights","RF","SVR","EXD3",0.976810437400969
"164","inv_std_weights","RF","DNN-CO","EXD3",0.946291833289722
"165","inv_std_weights","RF","DNN-SO","EXD3",0.976067077966378
"166","inv_std_weights","RF","LM","Linear",1.01188612975303
"167","inv_std_weights","RF","KNN","Linear",1.01188612975303
"168","inv_std_weights","RF","RNR","Linear",1.01188612975303
"169","inv_std_weights","SVR","LM","EXD3",0.944418615597638
"170","inv_std_weights","SVR","BLUP","EXD3",0.888121720154748
"171","inv_std_weights","SVR","KNN","EXD3",0.983627588142277
"172","inv_std_weights","SVR","RNR","EXD3",0.992521634278786
"173","inv_std_weights","SVR","RF","EXD3",0.97711965966414
"174","inv_std_weights","SVR","SVR","EXD3",0.959942570094319
"175","inv_std_weights","SVR","DNN-CO","EXD3",0.919476552002573
"176","inv_std_weights","SVR","DNN-SO","EXD3",0.953583807732257
"177","inv_std_weights","DNN-CO","LM","EXD3",0.922042503345841
"178","inv_std_weights","DNN-CO","BLUP","EXD3",0.891455785378515
"179","inv_std_weights","DNN-CO","KNN","EXD3",0.963502293339968
"180","inv_std_weights","DNN-CO","RNR","EXD3",0.971837203392839
"181","inv_std_weights","DNN-CO","RF","EXD3",0.946653531836622
"182","inv_std_weights","DNN-CO","SVR","EXD3",0.920037367583246
"183","inv_std_weights","DNN-CO","DNN-CO","EXD3",0.938793795007391
"184","inv_std_weights","DNN-CO","DNN-SO","EXD3",0.947407263596596
"185","inv_std_weights","DNN-SO","LM","EXD3",0.947615826506104
"186","inv_std_weights","DNN-SO","BLUP","EXD3",0.921757651461865
"187","inv_std_weights","DNN-SO","KNN","EXD3",0.995870564024714
"188","inv_std_weights","DNN-SO","RNR","EXD3",1.00500921505029
"189","inv_std_weights","DNN-SO","RF","EXD3",0.975607649401834
"190","inv_std_weights","DNN-SO","SVR","EXD3",0.952922307612227
"191","inv_std_weights","DNN-SO","DNN-CO","EXD3",0.94688943718142
"192","inv_std_weights","DNN-SO","DNN-SO","EXD3",0.984201395576383
"193","inv_var_weights","LM","BLUP","EXD3",0.905954469502005
"194","inv_var_weights","LM","SVR","EXD3",0.946776061203223
"195","inv_var_weights","LM","DNN-CO","EXD3",0.926640309052139
"196","inv_var_weights","LM","DNN-SO","EXD3",0.948044247631314
"197","inv_var_weights","LM","LM","Linear",0.968654038696294
"198","inv_var_weights","LM","KNN","Linear",0.968654038696294
"199","inv_var_weights","LM","RNR","Linear",0.968654038696294
"200","inv_var_weights","LM","RF","Linear",0.968654038696294
"201","inv_var_weights","BLUP","LM","EXD3",0.905863695058652
"202","inv_var_weights","BLUP","BLUP","EXD3",0.902889288465168
"203","inv_var_weights","BLUP","KNN","EXD3",0.920345474568719
"204","inv_var_weights","BLUP","RNR","EXD3",0.927836248590848
"205","inv_var_weights","BLUP","RF","EXD3",0.948823940663254
