rmse,ensemble,n_mods
0.9490559362700683,inv_rmse_weights,27
0.943735121614416,uniform_weights,28
0.9297576673011261,uniform_by_type_weights,28
0.9129256772730427,inv_std_weights,28
0.9279544075526457,inv_var_weights,28
0.9661280264894166,inv_rmse_weights,28
0.9536462996407389,uniform_weights,29
0.9156163130456932,uniform_by_type_weights,29
0.9320444303991137,inv_std_weights,29
0.9334802100640267,inv_var_weights,29
0.9818259891844836,inv_rmse_weights,29
0.9290836117994271,uniform_weights,30
0.9536835609648496,uniform_by_type_weights,30
0.9240644124624751,inv_std_weights,30
0.9315227349422022,inv_var_weights,30
0.9823681098292127,inv_rmse_weights,30
0.9228539627921463,uniform_weights,31
0.9427308162256671,uniform_by_type_weights,31
0.925699388339396,inv_std_weights,31
0.9242647539830464,inv_var_weights,31
0.9941281194322316,inv_rmse_weights,31
0.9365586914684516,uniform_weights,32
0.9405013896256856,uniform_by_type_weights,32
0.9258421077206669,inv_std_weights,32
0.9131568911278312,inv_var_weights,32
0.9527038347696157,inv_rmse_weights,32
0.9317679262263673,uniform_weights,33
0.9215891456937323,uniform_by_type_weights,33
0.9512221895235469,inv_std_weights,33
0.9411077859143007,inv_var_weights,33
0.9683513365552063,inv_rmse_weights,33
0.9179300966067149,uniform_weights,34
0.9387494728285013,uniform_by_type_weights,34
0.9186167975537356,inv_std_weights,34
0.9395182025965514,inv_var_weights,34
0.9846203627249697,inv_rmse_weights,34
0.9319798746264819,uniform_weights,35
0.9349548026669416,uniform_by_type_weights,35
0.9322606708700545,inv_std_weights,35
0.9142275815405089,inv_var_weights,35
0.9557505564991496,inv_rmse_weights,35
0.9477523601834879,uniform_weights,36
0.9353019395489206,uniform_by_type_weights,36
0.9345492074534761,inv_std_weights,36
0.9344002873935099,inv_var_weights,36
0.980307400483924,inv_rmse_weights,36
0.939088701396127,uniform_weights,37
0.925713356788554,uniform_by_type_weights,37
0.9364683670530711,inv_std_weights,37
0.935708519039776,inv_var_weights,37
0.9614071589368541,inv_rmse_weights,37
0.9290865776550987,uniform_weights,38
0.9430830933159192,uniform_by_type_weights,38
0.9284757478541393,inv_std_weights,38
0.936624842507867,inv_var_weights,38
0.982318561118558,inv_rmse_weights,38
0.9055721803851533,uniform_weights,39
0.9319974460945647,uniform_by_type_weights,39
0.9239979117011485,inv_std_weights,39
0.9324172778063394,inv_var_weights,39
0.9720075958848367,inv_rmse_weights,39
0.9381095280351683,uniform_weights,40
0.936774850540768,uniform_by_type_weights,40
0.9375909766454864,inv_std_weights,40
0.9123290314636396,inv_var_weights,40
0.95610558349515,inv_rmse_weights,40
0.9313926051134327,uniform_weights,41
0.9283034178605015,uniform_by_type_weights,41
0.9357892784382795,inv_std_weights,41
0.9278243121084204,inv_var_weights,41
0.942253159577125,inv_rmse_weights,41
0.9720013098718305,uniform_weights,42
0.936214285829531,uniform_by_type_weights,42
0.9318205380358144,inv_std_weights,42
0.9451090661064433,inv_var_weights,42
0.9722675684750848,inv_rmse_weights,42
0.9124000850518017,uniform_weights,43
0.9271507202620854,uniform_by_type_weights,43
0.9295934936591596,inv_std_weights,43
0.9199139309935751,inv_var_weights,43
0.996626472566387,inv_rmse_weights,43
0.923817654843858,uniform_weights,44
0.9334277879502847,uniform_by_type_weights,44
0.9491757028358383,inv_std_weights,44
0.9193854520646552,inv_var_weights,44
0.9641123943996914,inv_rmse_weights,44
0.9178211633967494,uniform_weights,45
0.9356329235362497,uniform_by_type_weights,45
0.9244914067074217,inv_std_weights,45
0.9286415142445471,inv_var_weights,45
0.9716296018976227,inv_rmse_weights,45
0.9252848585122233,uniform_weights,46
0.9282290631676448,uniform_by_type_weights,46
0.9414040624971568,inv_std_weights,46
0.899578105807335,inv_var_weights,46
0.9783332208795761,inv_rmse_weights,46
0.9343750576144494,uniform_weights,47
0.926078734225792,uniform_by_type_weights,47
0.9224013830825564,inv_std_weights,47
0.8972567676766421,inv_var_weights,47
0.9654084097033612,inv_rmse_weights,47
0.9497781862167491,uniform_weights,48
0.9322668595592352,uniform_by_type_weights,48
0.9318342000935875,inv_std_weights,48
0.924770564761391,inv_var_weights,48
0.9538804627627576,inv_rmse_weights,48
0.9427369987428577,uniform_weights,49
0.9340864346216301,uniform_by_type_weights,49
0.9187204272714119,inv_std_weights,49
0.9163650393743168,inv_var_weights,49
0.9765549988259085,inv_rmse_weights,49
0.9412533591352431,uniform_weights,50
0.9216086983132488,uniform_by_type_weights,50
0.9402903636213032,inv_std_weights,50
0.9186895584383681,inv_var_weights,50
0.9588754470713783,inv_rmse_weights,50
