Model1,Model2,RMSE
lm_1,svrl_2,0.975024781042016
lm_1,svrl_3,0.9585637256344004
lm_1,svrl_4,0.9572856888452398
lm_1,svrl_5,1.008119965968285
lm_1,svrl_6,0.9770478298214632
lm_1,svrl_7,0.9552354364980128
lm_1,svrl_8,0.9511155876875798
lm_1,svrl_9,0.9348886922300136
lm_1,full_0,0.977509943860926
lm_1,full_1,0.965830858155312
lm_1,full_2,0.9772357319556088
lm_1,full_3,0.9760104744284808
lm_1,full_4,0.9747448082558032
lm_1,full_5,0.951601272396614
lm_1,full_6,0.9495738485806589
lm_1,full_7,0.9477850804298452
lm_1,full_8,0.9266232764435804
lm_1,full_9,0.9327411965846528
lm_1,cat_0,0.9175355461109586
lm_1,cat_1,0.9234922042827396
lm_1,cat_2,0.9108790448872646
lm_1,cat_3,0.9140753152929438
lm_1,cat_4,0.9213870995116534
lm_1,cat_5,0.9186006469670636
lm_1,cat_6,0.9119981129657594
lm_1,cat_7,0.9233048609777184
lm_1,cat_8,0.9239249785702084
lm_1,cat_9,0.9292727206227424
lm_2,lm_0,0.972881876258408
lm_2,lm_1,0.972881876258408
lm_2,lm_2,0.972881876258408
lm_2,lm_3,0.972881876258408
lm_2,lm_4,0.972881876258408
lm_2,lm_5,0.972881876258408
lm_2,lm_6,0.972881876258408
lm_2,lm_7,0.972881876258408
lm_2,lm_8,0.972881876258408
lm_2,lm_9,0.972881876258408
lm_2,bglr_0,0.93276110936147
lm_2,bglr_1,0.9614902137158396
lm_2,bglr_2,0.8536610634223402
lm_2,bglr_3,0.8535358586336393
lm_2,bglr_4,0.8942522967520532
lm_2,bglr_5,0.9132670710194892
lm_2,bglr_6,0.910573875485913
lm_2,bglr_7,0.9238409389339264
lm_2,bglr_8,0.8608128377667137
lm_2,bglr_9,0.8907033395342102
lm_2,knn_0,0.9879022210273076
lm_2,knn_1,0.9879022210273076
lm_2,knn_2,0.9879022210273076
lm_2,knn_3,0.9879022210273076
lm_2,knn_4,0.9879022210273076
lm_2,knn_5,0.9879022210273076
lm_2,knn_6,0.9879022210273076
lm_2,knn_7,0.9879022210273076
lm_2,knn_8,0.9879022210273076
lm_2,knn_9,0.9879022210273076
lm_2,rf_0,0.9599366755876244
lm_2,rf_1,0.9599366755876244
lm_2,rf_2,0.956545180373092
lm_2,rf_3,0.9599366755876244
lm_2,rf_4,0.9599366755876244
lm_2,rf_5,0.9599366755876244
lm_2,rf_6,0.9599366755876244
lm_2,rf_7,0.9599366755876244
lm_2,rf_8,0.9565451803730922
lm_2,rf_9,0.9599366755876244
lm_2,rnr_0,0.9977171371343132
lm_2,rnr_1,0.9977171371343132
lm_2,rnr_2,0.9977171371343132
lm_2,rnr_3,0.9977171371343132
lm_2,rnr_4,0.9977171371343132
lm_2,rnr_5,0.9977171371343132
lm_2,rnr_6,0.9977171371343132
lm_2,rnr_7,0.9977171371343132
lm_2,rnr_8,0.9977171371343132
lm_2,rnr_9,0.9977171371343132
lm_2,svrl_0,0.9786697060697056
lm_2,svrl_1,0.9501418398440816
lm_2,svrl_2,0.975024781042016
lm_2,svrl_3,0.9585637256344004
lm_2,svrl_4,0.9572856888452398
lm_2,svrl_5,1.008119965968285
lm_2,svrl_6,0.9770478298214632
lm_2,svrl_7,0.9552354364980128
lm_2,svrl_8,0.9511155876875798
lm_2,svrl_9,0.9348886922300136
lm_2,full_0,0.977509943860926
lm_2,full_1,0.965830858155312
lm_2,full_2,0.9772357319556088
lm_2,full_3,0.9760104744284808
lm_2,full_4,0.9747448082558032
lm_2,full_5,0.951601272396614
lm_2,full_6,0.9495738485806589
lm_2,full_7,0.9477850804298452
lm_2,full_8,0.9266232764435804
lm_2,full_9,0.9327411965846528
lm_2,cat_0,0.9175355461109586
lm_2,cat_1,0.9234922042827396
lm_2,cat_2,0.9108790448872646
lm_2,cat_3,0.9140753152929438
lm_2,cat_4,0.9213870995116534
lm_2,cat_5,0.9186006469670636
lm_2,cat_6,0.9119981129657594
lm_2,cat_7,0.9233048609777184
lm_2,cat_8,0.9239249785702084
lm_2,cat_9,0.9292727206227424
lm_3,lm_0,0.972881876258408
lm_3,lm_1,0.972881876258408
lm_3,lm_2,0.972881876258408
lm_3,lm_3,0.972881876258408
lm_3,lm_4,0.972881876258408
lm_3,lm_5,0.972881876258408
lm_3,lm_6,0.972881876258408
lm_3,lm_7,0.972881876258408
lm_3,lm_8,0.972881876258408
lm_3,lm_9,0.972881876258408
lm_3,bglr_0,0.93276110936147
lm_3,bglr_1,0.9614902137158396
lm_3,bglr_2,0.8536610634223402
lm_3,bglr_3,0.8535358586336393
lm_3,bglr_4,0.8942522967520532
lm_3,bglr_5,0.9132670710194892
lm_3,bglr_6,0.910573875485913
lm_3,bglr_7,0.9238409389339264
lm_3,bglr_8,0.8608128377667137
lm_3,bglr_9,0.8907033395342102
lm_3,knn_0,0.9879022210273076
lm_3,knn_1,0.9879022210273076
lm_3,knn_2,0.9879022210273076
lm_3,knn_3,0.9879022210273076
lm_3,knn_4,0.9879022210273076
lm_3,knn_5,0.9879022210273076
lm_3,knn_6,0.9879022210273076
lm_3,knn_7,0.9879022210273076
lm_3,knn_8,0.9879022210273076
lm_3,knn_9,0.9879022210273076
lm_3,rf_0,0.9599366755876244
lm_3,rf_1,0.9599366755876244
lm_3,rf_2,0.956545180373092
lm_3,rf_3,0.9599366755876244
lm_3,rf_4,0.9599366755876244
lm_3,rf_5,0.9599366755876244
lm_3,rf_6,0.9599366755876244
lm_3,rf_7,0.9599366755876244
lm_3,rf_8,0.9565451803730922
lm_3,rf_9,0.9599366755876244
lm_3,rnr_0,0.9977171371343132
lm_3,rnr_1,0.9977171371343132
lm_3,rnr_2,0.9977171371343132
lm_3,rnr_3,0.9977171371343132
lm_3,rnr_4,0.9977171371343132
lm_3,rnr_5,0.9977171371343132
lm_3,rnr_6,0.9977171371343132
lm_3,rnr_7,0.9977171371343132
lm_3,rnr_8,0.9977171371343132
lm_3,rnr_9,0.9977171371343132
lm_3,svrl_0,0.9786697060697056
lm_3,svrl_1,0.9501418398440816
lm_3,svrl_2,0.975024781042016
lm_3,svrl_3,0.9585637256344004
lm_3,svrl_4,0.9572856888452398
lm_3,svrl_5,1.008119965968285
lm_3,svrl_6,0.9770478298214632
lm_3,svrl_7,0.9552354364980128
lm_3,svrl_8,0.9511155876875798
lm_3,svrl_9,0.9348886922300136
lm_3,full_0,0.977509943860926
lm_3,full_1,0.965830858155312
lm_3,full_2,0.9772357319556088
lm_3,full_3,0.9760104744284808
lm_3,full_4,0.9747448082558032
lm_3,full_5,0.951601272396614
lm_3,full_6,0.9495738485806589
lm_3,full_7,0.9477850804298452
lm_3,full_8,0.9266232764435804
lm_3,full_9,0.9327411965846528
lm_3,cat_0,0.9175355461109586
lm_3,cat_1,0.9234922042827396
lm_3,cat_2,0.9108790448872646
lm_3,cat_3,0.9140753152929438
lm_3,cat_4,0.9213870995116534
lm_3,cat_5,0.9186006469670636
lm_3,cat_6,0.9119981129657594
lm_3,cat_7,0.9233048609777184
lm_3,cat_8,0.9239249785702084
lm_3,cat_9,0.9292727206227424
lm_4,lm_0,0.972881876258408
lm_4,lm_1,0.972881876258408
lm_4,lm_2,0.972881876258408
lm_4,lm_3,0.972881876258408
lm_4,lm_4,0.972881876258408
lm_4,lm_5,0.972881876258408
lm_4,lm_6,0.972881876258408
lm_4,lm_7,0.972881876258408
lm_4,lm_8,0.972881876258408
lm_4,lm_9,0.972881876258408
lm_4,bglr_0,0.93276110936147
lm_4,bglr_1,0.9614902137158396
lm_4,bglr_2,0.8536610634223402
lm_4,bglr_3,0.8535358586336393
