,RMSE,Ensemble,Split,Name
43,0.5362479800242272,inv_rmse_weights,Train,Best in Test
44,0.5322890396277433,inv_rmse_weights,Train,Best in Test
45,0.5357267006752457,inv_rmse_weights,Train,Best in Test
46,0.5363744974250049,inv_rmse_weights,Train,Best in Test
47,0.537338242425758,inv_rmse_weights,Train,Best in Test
48,0.5358429863949313,inv_rmse_weights,Train,Best in Test
49,0.5344190657392879,inv_rmse_weights,Train,Best in Test
0,0.8568877946152125,uniform_weights,Test,Best in Test
1,0.8750678658240677,uniform_weights,Test,Best in Test
2,0.8782028468633567,uniform_weights,Test,Best in Test
3,0.8812408774459044,uniform_weights,Test,Best in Test
4,0.8710484525842622,uniform_weights,Test,Best in Test
5,0.8667426843109709,uniform_weights,Test,Best in Test
6,0.8867063315604128,uniform_weights,Test,Best in Test
7,0.8771263546834647,uniform_weights,Test,Best in Test
8,0.8990640681268257,uniform_weights,Test,Best in Test
9,0.894422879748028,uniform_weights,Test,Best in Test
10,0.8577530865315038,uniform_weights,Test,Best in Test
11,0.8837491580328218,uniform_weights,Test,Best in Test
12,0.9118523028908081,uniform_weights,Test,Best in Test
13,0.8755600099219941,uniform_weights,Test,Best in Test
14,0.8819990913037616,uniform_weights,Test,Best in Test
15,0.8802715627544461,uniform_weights,Test,Best in Test
16,0.8635841632404083,uniform_weights,Test,Best in Test
17,0.8955135413074378,uniform_weights,Test,Best in Test
18,0.8822728742554011,uniform_weights,Test,Best in Test
19,0.8747089490360523,uniform_weights,Test,Best in Test
20,0.8862036477949555,uniform_weights,Test,Best in Test
21,0.8740086471005184,uniform_weights,Test,Best in Test
22,0.8804412998845725,uniform_weights,Test,Best in Test
23,0.8739868896192471,uniform_weights,Test,Best in Test
24,0.8839083242233117,uniform_weights,Test,Best in Test
25,0.8711259613939398,uniform_weights,Test,Best in Test
26,0.8835633376330251,uniform_weights,Test,Best in Test
27,0.8950330260231929,uniform_weights,Test,Best in Test
28,0.8742997534751686,uniform_weights,Test,Best in Test
29,0.8995092874774356,uniform_weights,Test,Best in Test
30,0.8782382701322778,uniform_weights,Test,Best in Test
31,0.8814843653307656,uniform_weights,Test,Best in Test
32,0.9025363850870136,uniform_weights,Test,Best in Test
33,0.8706377193404895,uniform_weights,Test,Best in Test
34,0.8781458405020788,uniform_weights,Test,Best in Test
35,0.8731324010534676,uniform_weights,Test,Best in Test
36,0.8910464915881374,uniform_weights,Test,Best in Test
37,0.8789182691410972,uniform_weights,Test,Best in Test
38,0.8832080253238438,uniform_weights,Test,Best in Test
39,0.8803917293871809,uniform_weights,Test,Best in Test
40,0.8803092924116481,uniform_weights,Test,Best in Test
41,0.8676301966758343,uniform_weights,Test,Best in Test
42,0.8693239004687431,uniform_weights,Test,Best in Test
43,0.8820290972171813,uniform_weights,Test,Best in Test
44,0.8838567146729002,uniform_weights,Test,Best in Test
45,0.8773371280798337,uniform_weights,Test,Best in Test
46,0.8773908106814686,uniform_weights,Test,Best in Test
47,0.8663313917588462,uniform_weights,Test,Best in Test
48,0.905769309733813,uniform_weights,Test,Best in Test
49,0.8804075820109316,uniform_weights,Test,Best in Test
0,0.8917401060080371,uniform_by_type_weights,Test,Best in Test
1,0.8785167372478393,uniform_by_type_weights,Test,Best in Test
2,0.8873741051718453,uniform_by_type_weights,Test,Best in Test
3,0.879507545119885,uniform_by_type_weights,Test,Best in Test
4,0.8887086710363034,uniform_by_type_weights,Test,Best in Test
5,0.8821249664272937,uniform_by_type_weights,Test,Best in Test
6,0.90203523437978,uniform_by_type_weights,Test,Best in Test
7,0.8869324967416434,uniform_by_type_weights,Test,Best in Test
8,0.8826491349736029,uniform_by_type_weights,Test,Best in Test
9,0.8971155865051144,uniform_by_type_weights,Test,Best in Test
10,0.8923757255939003,uniform_by_type_weights,Test,Best in Test
11,0.8825259763313296,uniform_by_type_weights,Test,Best in Test
12,0.8850792550955376,uniform_by_type_weights,Test,Best in Test
